i_Model,x_Model,y_Model,i_Scene,x_Scene,y_Scene
1.000000,68.130428,121.577896,183.000000,70.000000,123.000000
2.000000,63.612121,83.431621,10.000000,66.000000,89.000000
3.000000,76.498845,127.179680,174.000000,79.000000,130.000000
4.000000,104.051805,168.356749,179.000000,107.000000,168.000000
5.000000,104.788263,72.240840,56.000000,108.000000,72.000000
6.000000,98.770270,99.994165,61.000000,100.000000,100.000000
7.000000,112.291899,127.718222,184.000000,115.000000,129.000000
8.000000,137.694051,83.383878,31.000000,141.000000,84.000000
9.000000,98.796549,188.028510,180.000000,102.000000,182.000000
10.000000,96.110346,95.266541,68.000000,98.000000,96.000000
11.000000,129.912288,138.081574,216.000000,131.000000,139.000000
12.000000,98.504218,154.563952,161.000000,101.000000,155.000000
13.000000,144.626858,140.748821,224.000000,145.000000,141.000000
14.000000,99.161310,119.035447,149.000000,100.000000,119.000000
15.000000,81.887945,113.593970,73.000000,84.000000,113.000000
16.000000,70.592459,127.498622,173.000000,72.000000,129.000000
17.000000,104.297672,101.704672,78.000000,106.000000,102.000000
18.000000,127.052408,164.220818,226.000000,132.000000,160.000000
19.000000,96.267049,159.818940,205.000000,96.000000,162.000000
20.000000,117.436156,162.740322,199.000000,122.000000,163.000000
21.000000,81.496721,154.086324,178.000000,83.000000,156.000000
22.000000,66.797707,135.932381,173.000000,72.000000,129.000000
23.000000,89.808416,183.477405,196.000000,95.000000,178.000000
24.000000,92.089189,178.086268,196.000000,95.000000,178.000000
25.000000,123.132831,102.942277,34.000000,126.000000,105.000000
26.000000,86.590136,98.397481,60.000000,89.000000,95.000000
27.000000,129.598848,126.419705,52.000000,131.000000,128.000000
28.000000,143.584056,108.098757,39.000000,144.000000,109.000000
29.000000,81.020815,73.950084,57.000000,83.000000,74.000000
30.000000,86.768792,73.275095,63.000000,88.000000,74.000000
31.000000,142.084905,95.911990,124.000000,145.000000,100.000000
32.000000,131.892430,75.493511,127.000000,135.000000,76.000000
33.000000,107.238266,183.085542,236.000000,116.000000,183.000000
34.000000,92.460131,168.453501,207.000000,95.000000,167.000000
35.000000,112.978851,113.505673,80.000000,114.000000,116.000000
36.000000,107.983722,91.976075,103.000000,110.000000,90.000000
37.000000,102.733252,178.461223,202.000000,105.000000,177.000000
38.000000,91.562937,94.556994,60.000000,89.000000,95.000000
39.000000,154.857362,85.375659,122.000000,158.000000,88.000000
40.000000,129.919529,106.164304,143.000000,130.000000,106.000000
41.000000,82.156242,105.044078,15.000000,87.000000,104.000000
42.000000,76.119009,129.493094,174.000000,79.000000,130.000000
43.000000,60.871361,92.623889,76.000000,62.000000,93.000000
44.000000,89.202438,136.259326,185.000000,91.000000,136.000000
45.000000,121.502898,120.016925,41.000000,122.000000,120.000000
46.000000,124.856488,130.354096,53.000000,127.000000,131.000000
47.000000,78.464383,103.018609,26.000000,80.000000,103.000000
48.000000,128.623645,146.437004,232.000000,130.000000,146.000000
49.000000,116.164683,174.548701,201.000000,117.000000,174.000000
50.000000,139.998525,90.962773,132.000000,141.000000,91.000000
51.000000,59.662595,118.187362,181.000000,61.000000,119.000000
52.000000,90.610683,159.525251,153.000000,93.000000,160.000000
53.000000,121.385594,97.151159,88.000000,124.000000,98.000000
54.000000,78.318344,80.744250,58.000000,81.000000,82.000000
55.000000,131.354430,118.166556,227.000000,139.000000,120.000000
56.000000,98.551072,113.224338,20.000000,100.000000,113.000000
57.000000,64.539127,87.961585,10.000000,66.000000,89.000000
58.000000,97.958611,182.367513,180.000000,102.000000,182.000000
59.000000,93.272871,70.518845,22.000000,96.000000,71.000000
60.000000,81.732931,175.565288,191.000000,86.000000,173.000000
61.000000,145.875836,91.904383,123.000000,147.000000,91.000000
62.000000,91.243227,130.568559,167.000000,93.000000,130.000000
63.000000,134.553842,155.050414,228.000000,137.000000,156.000000
64.000000,149.268472,123.299789,218.000000,153.000000,124.000000
65.000000,144.184020,100.872016,124.000000,145.000000,100.000000
66.000000,104.760427,116.405886,5.000000,106.000000,117.000000
67.000000,73.577457,80.622447,83.000000,75.000000,81.000000
68.000000,78.461134,86.588856,24.000000,79.000000,92.000000
69.000000,92.496021,152.481039,51.000000,96.000000,153.000000
70.000000,143.825505,124.888850,221.000000,142.000000,127.000000
71.000000,154.462863,105.431939,35.000000,159.000000,108.000000
72.000000,98.245949,131.342207,157.000000,100.000000,131.000000
73.000000,87.551545,113.788055,74.000000,88.000000,114.000000
74.000000,93.279154,85.351865,106.000000,96.000000,86.000000
75.000000,125.456998,135.522248,230.000000,131.000000,134.000000
76.000000,85.986551,108.686808,72.000000,88.000000,108.000000
77.000000,82.708140,121.610455,47.000000,87.000000,123.000000
78.000000,140.000000,115.678454,37.000000,142.000000,115.000000
79.000000,129.922964,174.524898,154.000000,119.000000,170.000000
80.000000,134.962432,99.612930,141.000000,140.000000,100.000000
81.000000,147.396932,129.008928,215.000000,151.000000,129.000000
82.000000,76.331422,97.116934,25.000000,77.000000,98.000000
83.000000,104.430243,107.278776,17.000000,106.000000,111.000000
84.000000,147.693688,87.565909,32.000000,152.000000,89.000000
85.000000,63.610476,95.980232,3.000000,65.000000,96.000000
86.000000,95.106097,170.651476,164.000000,97.000000,171.000000
87.000000,98.579623,79.293138,102.000000,100.000000,84.000000
88.000000,73.716130,141.568762,187.000000,76.000000,142.000000
89.000000,89.207027,84.358689,9.000000,91.000000,85.000000
90.000000,132.667823,149.914207,225.000000,135.000000,150.000000
91.000000,113.303140,103.465228,79.000000,116.000000,105.000000
92.000000,110.428298,72.683583,82.000000,114.000000,74.000000
93.000000,131.803243,91.919614,131.000000,134.000000,91.000000
94.000000,152.434376,111.833426,148.000000,153.000000,114.000000
95.000000,72.525143,87.500070,84.000000,74.000000,89.000000
96.000000,108.514541,78.538800,2.000000,111.000000,79.000000
97.000000,102.752774,151.411173,171.000000,107.000000,152.000000
98.000000,134.455515,143.314442,220.000000,136.000000,144.000000
99.000000,116.182264,110.010163,92.000000,120.000000,111.000000
100.000000,124.107280,177.509748,201.000000,117.000000,174.000000
101.000000,144.325707,118.577501,214.000000,147.000000,120.000000
102.000000,83.588318,91.804726,11.000000,85.000000,92.000000
103.000000,111.526800,180.587646,236.000000,116.000000,183.000000
104.000000,98.063206,83.438450,102.000000,100.000000,84.000000
105.000000,95.330319,104.612957,91.000000,97.000000,106.000000
106.000000,86.995175,161.197181,153.000000,93.000000,160.000000
107.000000,98.668102,70.505388,7.000000,102.000000,75.000000
108.000000,140.174674,86.713076,132.000000,141.000000,91.000000
109.000000,118.516038,125.077628,43.000000,118.000000,125.000000
110.000000,77.912723,144.771135,198.000000,81.000000,146.000000
111.000000,122.515537,153.898117,217.000000,126.000000,154.000000
112.000000,73.000000,106.637784,97.000000,75.000000,107.000000
113.000000,130.000000,131.639650,230.000000,131.000000,134.000000
114.000000,140.556164,102.017155,124.000000,145.000000,100.000000
115.000000,66.218738,100.761539,71.000000,69.000000,105.000000
116.000000,113.788552,93.027365,67.000000,117.000000,93.000000
117.000000,81.580145,127.387969,168.000000,85.000000,132.000000
118.000000,121.000000,159.472213,162.000000,123.000000,159.000000
119.000000,68.750282,92.470732,59.000000,70.000000,93.000000
120.000000,79.496923,117.392771,100.000000,80.000000,117.000000
121.000000,68.589906,110.495153,98.000000,70.000000,111.000000
122.000000,151.606876,92.357808,29.000000,155.000000,93.000000
123.000000,89.420583,87.719953,95.000000,90.000000,87.000000
124.000000,87.597884,174.499674,165.000000,92.000000,173.000000
125.000000,146.200998,136.003565,222.000000,148.000000,135.000000
126.000000,122.276806,171.435489,154.000000,119.000000,170.000000
127.000000,134.653343,104.420397,126.000000,136.000000,106.000000
128.000000,113.054455,134.279601,175.000000,114.000000,134.000000
129.000000,99.977626,124.728546,166.000000,101.000000,126.000000
130.000000,88.075027,118.466985,192.000000,92.000000,120.000000
131.000000,120.966827,69.182601,55.000000,124.000000,70.000000
132.000000,106.401789,97.076494,69.000000,108.000000,98.000000
133.000000,136.609065,78.023300,116.000000,140.000000,78.000000
134.000000,81.429565,100.491283,105.000000,83.000000,100.000000
135.000000,130.675789,79.537611,38.000000,135.000000,79.000000
136.000000,69.335061,83.108812,83.000000,75.000000,81.000000
137.000000,151.287580,80.428017,129.000000,153.000000,82.000000
138.000000,99.610719,143.475077,159.000000,103.000000,143.000000
